WKT	name	beslissing	pointid	Naam	openheid_sbp	sample_order	batch	zichtbaarheid	wegtype
POINT (2.617936 51.019383 0.0)	NA	behouden	DM_386.7	Zandleemstreek	OL binnen plan	8	eerste set	0.719362871834543	unclassified
POINT (4.835967 50.866205 0.0)	NA	behouden	Zn_10111.7	Zandleemstreek	HOL binnen plan	2	eerste set	0.344291781425193	unclassified
POINT (3.972441 50.875775 0.0)	NA	behouden	Zn_102166.5	Zandleemstreek	HOL buiten plan	26	eerste set	0.232839075787849	track
POINT (3.649004 50.837021 0.0)	NA	vervanging	Zn_103695.5	Zandleemstreek	HOL binnen plan	57	reserve set	0.309222935492002	track
POINT (4.833252 50.848133 0.0)	NA	behouden	Zn_105462.1	Zandleemstreek	HOL binnen plan	40	eerste set	0.793790100649685	track
POINT (4.392077 50.935122 0.0)	NA	behouden	Zn_10583.5	Zandleemstreek	OL buiten plan	5	eerste set	0.731177912202586	track
POINT (3.758232 50.8761 0.0)	NA	behouden	Zn_105980.5	Zandleemstreek	OL buiten plan	3	eerste set	0.386058325401303	unclassified
POINT (3.838659 50.851009 0.0)	NA	behouden	Zn_113200.1	Zandleemstreek	HOL buiten plan	2	eerste set	0.341432090125894	track
POINT (5.045338 50.857962 0.0)	NA	behouden	Zn_114013.6	Zandleemstreek	HOL binnen plan	4	eerste set	0.432641191565778	track
POINT (2.813773 50.794658 0.0)	NA	behouden	Zn_11411.7	Zandleemstreek	OL binnen plan	9	eerste set	0.557940823494224	unclassified
POINT (3.660932 50.847133 0.0)	NA	vervanging	Zn_119428.1	Zandleemstreek	HOL binnen plan	62	reserve set	0.462667950208024	track
POINT (2.895409 50.884527 0.0)	NA	behouden	Zn_12018.10	Zandleemstreek	OL buiten plan	29	eerste set	0.575701011563347	unclassified
POINT (2.860699 50.922342 0.0)	NA	behouden	Zn_12023.2	Zandleemstreek	OL buiten plan	11	eerste set	0.670597609678587	unclassified
POINT (4.950737 50.834093 0.0)	NA	behouden	Zn_12233.18	Zandleemstreek	OL binnen plan	10	eerste set	0.666458582798072	track
POINT (5.087635 50.841844 0.0)	NA	behouden	Zn_12340.6	Zandleemstreek	OL binnen plan	48	eerste set	0.740208516305526	unclassified
POINT (5.052347 50.968072 0.0)	NA	behouden	Zn_124534.8	Zandleemstreek	HOL buiten plan	50	eerste set	0.370104258152716	track
POINT (3.41227 51.017153 0.0)	NA	behouden	Zn_124557.4	Zandleemstreek	OL buiten plan	49	eerste set	0.611898683009345	unclassified
POINT (3.5356 50.830831 0.0)	NA	behouden	Zn_127029.1	Zandleemstreek	OL buiten plan	21	eerste set	0.723727663817665	track
POINT (4.042937 51.004729 0.0)	NA	behouden	Zn_129510.4	Zandleemstreek	HOL binnen plan	25	eerste set	0.746906214348536	track
POINT (5.083107 50.913138 0.0)	NA	behouden	Zn_130118.2	Zandleemstreek	HOL binnen plan	43	eerste set	0.452282755489644	track
POINT (5.082774 50.901406 0.0)	NA	behouden	Zn_13057.9	Zandleemstreek	HOL buiten plan	21	eerste set	0.312534156996424	track
POINT (2.852646 50.787678 0.0)	NA	behouden	Zn_130761.1.1	Zandleemstreek	OL binnen plan	2	eerste set	0.791306684521383	unclassified
POINT (5.037125 50.839884 0.0)	NA	vervanging	Zn_131680.2	Zandleemstreek	HOL binnen plan	55	reserve set	0.39727132549583	track
POINT (4.522471 50.851978 0.0)	NA	behouden	Zn_13339.13	Zandleemstreek	OL binnen plan	54	eerste set	0.52354927286887	track
POINT (2.620979 50.863741 0.0)	NA	behouden	Zn_134351	Zandleemstreek	HOL binnen plan	17	eerste set	0.488781447072415	tertiary
POINT (3.684299 50.938571 0.0)	NA	vervanging	Zn_135839.8	Zandleemstreek	OL buiten plan	53	reserve set	0.714621804680456	track
POINT (3.564491 50.903863 0.0)	NA	behouden	Zn_138937.3	Zandleemstreek	HOL binnen plan	5	eerste set	0.500897507577207	unclassified
POINT (2.722256 50.937479 0.0)	NA	behouden	Zn_141666.4	Zandleemstreek	OL binnen plan	27	eerste set	0.772492925973568	track
POINT (2.666476 50.951865 0.0)	NA	behouden	Zn_141803.9	Zandleemstreek	OL binnen plan	26	eerste set	0.518657695646372	unclassified
POINT (2.70815 50.844331 0.0)	NA	behouden	Zn_142248	Zandleemstreek	HOL binnen plan	41	eerste set	0.352344070083609	unclassified
POINT (4.256734 50.984217 0.0)	NA	behouden	Zn_14495.1	Zandleemstreek	HOL buiten plan	22	eerste set	0.491490628303315	tertiary
POINT (5.04921 50.926514 0.0)	NA	behouden	Zn_146709	Zandleemstreek	HOL buiten plan	42	eerste set	0.273476794251101	unclassified
POINT (2.813977 50.946991 0.0)	NA	behouden	Zn_148821.1.1	Zandleemstreek	OL buiten plan	36	eerste set	0.612425468248725	tertiary
POINT (2.802239 50.831567 0.0)	NA	behouden	Zn_148962.6	Zandleemstreek	OL binnen plan	34	eerste set	0.563434440990176	unclassified
POINT (5.433406 50.884404 0.0)	NA	behouden	Zn_15354.2.5	Zandleemstreek	HOL buiten plan	28	eerste set	0.488254661833103	unclassified
POINT (4.235237 50.781724 0.0)	NA	behouden	Zn_19057.3	Zandleemstreek	HOL buiten plan	34	eerste set	0.525204883621067	unclassified
